Added 202 to h, from 101, with h[202] = 27
Added 404 to h, from 202, with h[404] = 28
Added 67 to h, from 202, with h[67] = 28
Added 134 to h, from 67, with h[134] = 29
Added 268 to h, from 134, with h[268] = 30
Added 536 to h, from 268, with h[536] = 31
Added 89 to h, from 268, with h[89] = 31
Added 178 to h, from 89, with h[178] = 32
Added 356 to h, from 178, with h[356] = 33
Added 59 to h, from 178, with h[59] = 33
Added 118 to h, from 59, with h[118] = 34
Added 236 to h, from 118, with h[236] = 35
Added 39 to h, from 118, with h[39] = 35
Added 78 to h, from 39, with h[78] = 36
Added 156 to h, from 78, with h[156] = 37
Added 312 to h, from 156, with h[312] = 38
Added 472 to h, from 236, with h[472] = 36
Added 616 to h, from 308, with h[616] = 26
Added 624 to h, from 312, with h[624] = 39
Added 640 to h, from 320, with h[640] = 13
Added 648 to h, from 324, with h[648] = 26
Added 672 to h, from 336, with h[672] = 13
Added 680 to h, from 340, with h[680] = 13
Added 113 to h, from 340, with h[113] = 13
Added 226 to h, from 113, with h[226] = 14
Added 452 to h, from 226, with h[452] = 15
Added 75 to h, from 226, with h[75] = 15
Added 150 to h, from 75, with h[150] = 16
Added 300 to h, from 150, with h[300] = 17
Added 600 to h, from 300, with h[600] = 18
Added 688 to h, from 344, with h[688] = 34
Added 704 to h, from 352, with h[704] = 21
Added 117 to h, from 352, with h[117] = 21
Added 234 to h, from 117, with h[234] = 22
Added 468 to h, from 234, with h[468] = 23
Added 712 to h, from 356, with h[712] = 34
Added 720 to h, from 360, with h[720] = 21
Added 736 to h, from 368, with h[736] = 21
Added 744 to h, from 372, with h[744] = 21
Added 768 to h, from 384, with h[768] = 16
Added 784 to h, from 392, with h[784] = 29
Added 800 to h, from 400, with h[800] = 29
Added 133 to h, from 400, with h[133] = 29
Added 266 to h, from 133, with h[266] = 30
Added 532 to h, from 266, with h[532] = 31
Added 808 to h, from 404, with h[808] = 29
Added 816 to h, from 408, with h[816] = 29
Added 832 to h, from 416, with h[832] = 16
Added 848 to h, from 424, with h[848] = 16
Added 141 to h, from 424, with h[141] = 16
Added 282 to h, from 141, with h[282] = 17
Added 564 to h, from 282, with h[564] = 18
Added 896 to h, from 448, with h[896] = 24
Added 149 to h, from 448, with h[149] = 24
Added 298 to h, from 149, with h[298] = 25
Added 596 to h, from 298, with h[596] = 26
Added 99 to h, from 298, with h[99] = 26
Added 198 to h, from 99, with h[198] = 27
Added 396 to h, from 198, with h[396] = 28
Added 792 to h, from 396, with h[792] = 29
Added 904 to h, from 452, with h[904] = 16
